Designator,Footprint,Quantity,Value,LCSC Part #
U1,114-83-640-41-134161,1,114-83-640-41-134161 ,114-83-640-41-134161 
C3,C_1206_3216Metric,1,"1206,100nF,50V,X7R ",C24497
D23,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
R4,R_0805_2012Metric,1,1K,RMCF0805JT1K00
D22,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
R29,R_0805_2012Metric,1,60R,RCS080560R4FKEA
D10,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
D16,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
R1,R_0805_2012Metric,1,1K,RMCF0805JT1K00
U12,IC_H11L1SR2M,1,H11L1SR2M,H11L1SR2M
P7,CONN-TH_4P-P3.81_KF124-3.81-4P,1,WJ124-3_81-4P,C69809
P6,CONN-TH_4P-P3.81_KF124-3.81-4P,1,WJ124-3_81-4P,C69809
P2,CONN-TH_4P-P3.81_KF124-3.81-4P,1,WJ124-3_81-4P,C69809
Y1,OSC_ECS-3961-240-AU-TR,1,ECS-3961-240-AU-TR,ECS-3961-240-AU-TR
U11,DFN-8_L3.0-W3.0-P0.65-BL,1,AON7410,C269266
D5,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
R26,R_0805_2012Metric,1,300R,RMCF0805JT300R
R37,R_0805_2012Metric,1,1K,RMCF0805JT1K00
C8,C_1206_3216Metric,1,"1206,100nF,50V,X7R ",C24497
R13,R_0402_1005Metric,1,"0402,47",C25118
C12,C_0603_1608Metric,1,4700pF,CGA3E2C0G1H472J080AA
D18,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
C5,C_1206_3216Metric,1,10UF,CL31B106KAHNFNE
R43,R_0805_2012Metric,1,1K,RMCF0805JT1K00
C1,CP_Elec_10x10,1,HZA107M050G24T-F ,HZA107M050G24T-F
R12,R_0805_2012Metric,1,1K,RMCF0805JT1K00
S1,SW-SMD_6P-L7.4-W7.4-P2.54-LS9.5-TL,1,MSDR-16S,C411265
R19,R_0402_1005Metric,1,"0402,47",C25118
D6,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
D26,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
P4,CONN-TH_4P-P3.81_KF124-3.81-4P,1,WJ124-3_81-4P,C69809
U4,DFN-8_L3.0-W3.0-P0.65-BL,1,AON7410,C269266
R35,R_0805_2012Metric,1,22K,RMCF0805JT22K0
U8,DFN-8_L3.0-W3.0-P0.65-BL,1,AON7410,C269266
R36,R_0805_2012Metric,1,1K,RMCF0805JT1K00
C10,C_1206_3216Metric,1,10UF,CL31B106KAHNFNE
R30,R_0805_2012Metric,1,1K,RMCF0805JT1K00
R11,R_0402_1005Metric,1,"0402,47",C25118
P3,CONN-TH_4P-P3.81_KF124-3.81-4P,1,WJ124-3_81-4P,C69809
R3,R_0805_2012Metric,1,1K,RMCF0805JT1K00
IC1,SO-8_3.9x4.9mm_P1.27mm,1,TJA1042T/1J,C53670
U6,DFN-8_L3.0-W3.0-P0.65-BL,1,AON7410,C269266
D9,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
R31,R_0805_2012Metric,1,1K,RMCF0805JT1K00
D21,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
R39,R_0805_2012Metric,1,22K,RMCF0805JT22K0
R20,R_0805_2012Metric,1,1K,RMCF0805JT1K00
D13,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
R15,R_0402_1005Metric,1,"0402,47",C25118
D17,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
D8,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
R28,R_0805_2012Metric,1,60R,RCS080560R4FKEA
R18,R_0805_2012Metric,1,1K,RMCF0805JT1K00
U7,DFN-8_L3.0-W3.0-P0.65-BL,1,AON7410,C269266
R22,R_0805_2012Metric,1,1K,RMCF0805JT1K00
R21,R_0402_1005Metric,1,"0402,47",C25118
J4,AMPHENOL_54602-908LF,1,54602-908LF,54602-908LF
D12,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
R40,R_0805_2012Metric,1,22K,RMCF0805JT22K0
D20,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
J2,TE_284392-2,1,284392-2,284392-2
D2,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
C7,C_1206_3216Metric,1,"1206,1uF,50V,X7R ",C1848
D11,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
D19,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
R9,R_0402_1005Metric,1,"0402,47",C25118
U9,DFN-8_L3.0-W3.0-P0.65-BL,1,AON7410,C269266
R7,R_0805_2012Metric,1,1K,RMCF0805JT1K00
P5,CONN-TH_4P-P3.81_KF124-3.81-4P,1,WJ124-3_81-4P,C69809
P8,CONN-TH_4P-P3.81_KF124-3.81-4P,1,WJ124-3_81-4P,C69809
R5,R_0805_2012Metric,1,1K,RMCF0805JT1K00
R14,R_0805_2012Metric,1,1K,RMCF0805JT1K00
R42,R_0805_2012Metric,1,4.7K,RMCF0805JT4K70
R10,R_0805_2012Metric,1,1K,RMCF0805JT1K00
J3,AMPHENOL_54602-908LF,1,54602-908LF,54602-908LF
R17,R_0402_1005Metric,1,"0402,47",C25118
R23,R_0402_1005Metric,1,"0402,47",C25118
D14,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
U13,IC_H11L1SR2M,1,H11L1SR2M,H11L1SR2M
U5,DFN-8_L3.0-W3.0-P0.65-BL,1,AON7410,C269266
R38,R_0805_2012Metric,1,1K,RMCF0805JT1K00
R41,R_0805_2012Metric,1,22K,RMCF0805JT22K0
R16,R_0805_2012Metric,1,1K,RMCF0805JT1K00
D15,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
D1,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
U10,DFN-8_L3.0-W3.0-P0.65-BL,1,AON7410,C269266
R2,R_0805_2012Metric,1,1K,RMCF0805JT1K00
R32,R_0805_2012Metric,1,1K,RMCF0805JT1K00
D7,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
U14,SW-SMD_4P-L6.0-W5.1-P2.54-LS9.3-BL,1,DSIC02LSGET,C54949
R25,R_0805_2012Metric,1,300R,RMCF0805JT300R
C9,C_1206_3216Metric,1,"1206,1uF,50V,X7R ",C1848
R8,R_0805_2012Metric,1,1K,RMCF0805JT1K00
R33,R_0805_2012Metric,1,22K,RMCF0805JT22K0
D25,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
C11,C_1206_3216Metric,1,10UF,CL31B106KAHNFNE
C2,C_1206_3216Metric,1,"1206,100nF,50V,X7R ",C24497
D24,SOD-323_L1.8-W1.3-LS2.5-RD,1,SS16MH,C364278
R27,R_0805_2012Metric,1,300R,RMCF0805JT300R
R6,R_0805_2012Metric,1,1K,RMCF0805JT1K00
C6,C_1206_3216Metric,1,10UF,CL31B106KAHNFNE
C4,C_1206_3216Metric,1,"1206,100nF,50V,X7R ",C24497
D3,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
P1,CONN-TH_4P-P3.81_KF124-3.81-4P,1,WJ124-3_81-4P,C69809
R44,R_0805_2012Metric,1,4.7K,RMCF0805JT4K70
R24,R_0805_2012Metric,1,1K,RMCF0805JT1K00
R45,R_0805_2012Metric,1,1K,RMCF0805JT1K00
U3,SOIC-20W_7.5x12.8mm_P1.27mm,1,C554416,C554416
D4,SMB_L4.6-W3.6-LS5.3-BI,1,SMBJ15CA-C78410,C78410
J1,TE_4-1437652-0,1,4-1437652-0,C60785
U2,TO-252-2,1,CJ7805_3%,C21706
R34,R_0805_2012Metric,1,22K,RMCF0805JT22K0
